Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%\
1,Evgeni Malkin\\malkiev01,30,C,PIT,38,16,27,43,11,46,10,6,0,4,18,9,0,121,13.2,704,18:31,14,25,217,300,42.0\
2,Connor McDavid\\mcdavco01,20,C,EDM,38,14,29,43,9,16,12,2,0,3,17,11,1,111,12.6,804,21:09,10,14,200,254,44.1\
3,Sidney Crosby\\crosbsi01,29,C,PIT,32,26,16,42,9,12,17,9,0,3,12,4,0,112,23.2,615,19:13,9,38,360,379,48.7\
4,Vladimir Tarasenko\\tarasvl01,25,RW,STL,38,18,23,41,-3,8,14,4,0,4,12,11,0,138,13,688,18:06,13,15,0,2,0.0\
5,Artemi Panarin\\panarar01,25,LW,CHI,40,15,24,39,13,17,9,6,0,1,18,6,0,98,15.3,801,20:02,5,10,1,0,100.0\
6,Tyler Seguin\\seguity01,25,C,DAL,38,13,25,38,-9,14,6,7,0,1,17,8,0,132,9.8,724,19:03,12,36,200,193,50.9\
7,Phil Kessel\\kesseph01,29,RW,PIT,38,12,26,38,-1,12,8,4,0,3,14,12,0,103,11.7,687,18:04,10,6,3,7,30.0\
8,Cam Atkinson\\atkinca01,27,RW,CBJ,35,17,20,37,8,8,8,7,2,4,10,10,0,100,17,625,17:52,13,14,2,0,100.0\
9,Patrick Kane\\kanepa01,28,RW,CHI,40,11,26,37,4,22,9,2,0,3,17,9,0,129,8.5,879,21:58,8,13,5,33,13.2\
10,Brent Burns\\burnsbr01,31,D,SJS,37,15,20,35,12,14,11,4,0,3,12,7,1,151,9.9,911,24:37:00,67,40,0,0,\
11,Nikita Kucherov\\kucheni01,23,RW,TBL,31,13,22,35,6,20,9,4,0,3,14,8,0,95,13.7,572,18:27,12,9,0,0,\
12,Jakub Voracek\\voracja01,27,RW,PHI,39,11,24,35,-9,39,9,2,0,2,13,11,0,129,8.5,780,20:00,8,11,1,6,14.3\
13,Ryan Kesler\\keslery01,32,C,ANA,39,15,19,34,11,26,8,7,0,2,11,8,0,91,16.5,854,21:54,36,68,497,361,57.9\
14,Joe Pavelski\\paveljo01,32,C,SJS,37,12,22,34,9,14,8,4,0,3,14,8,0,124,9.7,732,19:47,38,78,210,193,52.1\
15,Jamie Benn\\bennja01,27,LW,DAL,38,10,24,34,-6,35,4,6,0,2,18,6,0,87,11.5,768,20:13,22,55,156,134,53.8\
16,Mark Scheifele\\scheima01,23,C,WPG,36,15,18,33,5,24,12,3,0,2,15,3,0,83,18.1,729,20:15,14,31,285,363,44.0\
17,Leon Draisaitl\\draisle01,21,C,EDM,38,14,19,33,-1,6,6,8,0,1,12,7,0,91,15.4,683,17:58,14,12,277,276,50.1\
18,Alexander Wennberg\\wennbal01,22,C,CBJ,35,8,25,33,12,9,6,2,0,3,11,14,0,42,19,637,18:11,24,29,253,306,45.3\
19,Victor Hedman\\hedmavi01,26,D,TBL,38,7,26,33,8,20,5,2,0,2,13,13,0,78,9,940,24:44:00,62,47,0,0,\
20,Auston Matthews\\matthau01,19,C,TOR,36,20,12,32,3,6,17,3,0,3,5,7,0,133,15,640,17:47,33,6,191,241,44.2\
21,Wayne Simmonds\\simmowa01,28,RW,PHI,39,17,15,32,-7,67,8,8,1,1,8,7,0,105,16.2,751,19:16,26,76,8,7,53.3\
22,Brandon Saad\\saadbr01,24,LW,CBJ,35,14,18,32,20,6,13,1,0,3,18,0,0,93,15.1,611,17:27,11,11,1,2,33.3\
23,Claude Giroux\\giroucl01,29,C,PHI,39,10,22,32,-5,24,6,4,0,1,10,12,0,104,9.6,766,19:39,13,26,480,410,53.9\
24,Erik Karlsson\\karlser01,26,D,OTT,37,7,25,32,2,16,6,1,0,2,13,11,1,87,8,1004,27:09:00,96,31,0,0,\
25,Jeff Carter\\carteje01,32,C,LAK,37,20,11,31,6,14,13,6,1,7,9,2,0,118,16.9,670,18:06,18,43,338,298,53.1\
26,Patrik Laine\\lainepa01,18,RW,WPG,39,19,12,31,4,12,12,7,0,3,9,3,0,102,18.6,718,18:24,17,48,0,2,0.0\
27,Nick Foligno\\foligni01,29,LW,CBJ,33,12,19,31,11,33,5,7,0,2,11,8,0,77,15.6,607,18:24,20,48,27,25,51.9\
28,Nikolaj Ehlers\\ehlerni01,20,RW,WPG,39,10,21,31,-1,18,7,3,0,2,18,3,0,90,11.1,690,17:42,11,20,0,2,0.0\
29,Brad Marchand\\marchbr03,28,LW,BOS,40,10,21,31,4,42,8,2,0,3,16,5,0,112,8.9,758,18:57,16,29,10,13,43.5\
30,Max Pacioretty\\pacioma01,28,LW,MTL,37,15,15,30,6,26,10,4,1,4,11,3,1,107,14,695,18:47,14,32,13,7,65.0\
31,Charlie Coyle\\coylech01,24,C,MIN,36,12,18,30,13,22,8,4,0,3,16,2,0,79,15.2,635,17:38,36,50,19,17,52.8\
32,Eric Staal\\staaler01,32,C,MIN,36,11,19,30,13,14,9,1,1,5,12,6,1,94,11.7,694,19:16,17,22,314,308,50.5\
33,Nicklas Backstrom\\backsni02,29,C,WSH,36,9,21,30,5,20,7,2,0,2,10,11,0,74,12.2,668,18:34,16,24,311,280,52.6\
34,Derek Stepan\\stepade01,26,C,NYR,39,9,21,30,14,10,7,1,1,1,14,7,0,88,10.2,712,18:15,27,13,334,385,46.5\
35,Ryan Getzlaf\\getzlry01,31,C,ANA,36,5,25,30,-8,20,2,2,1,1,14,11,0,67,7.5,737,20:28,44,45,265,244,52.1\
36,Artem Anisimov\\anisiar01,28,C,CHI,36,16,13,29,12,18,12,4,0,6,10,3,0,63,25.4,661,18:22,11,13,240,297,44.7\
37,Chris Kreider\\kreidch01,25,LW,NYR,33,15,14,29,6,19,11,4,0,2,10,4,0,91,16.5,559,16:56,16,58,3,2,60.0\
38,Blake Wheeler\\wheelbl01,30,RW,WPG,39,11,18,29,-1,22,8,2,1,1,10,7,1,111,9.9,784,20:06,23,54,40,48,45.5\
39,Mikael Granlund\\granlmi01,24,C,MIN,36,10,19,29,18,6,7,2,1,2,13,5,1,66,15.2,695,19:18,23,23,5,7,41.7\
40,Mats Zuccarello\\zuccama01,29,RW,NYR,39,8,21,29,9,12,6,2,0,0,17,4,0,89,9,732,18:46,23,40,4,3,57.1\
41,Corey Perry\\perryco01,31,RW,ANA,39,7,22,29,-6,27,5,2,0,1,10,12,0,111,6.3,717,18:23,12,37,1,4,20.0\
42,Alex Ovechkin\\ovechal01,31,LW,WSH,36,17,11,28,-1,26,11,6,0,5,8,3,0,142,12,671,18:39,13,91,0,1,0.0\
43,Sam Gagner\\gagnesa01,27,C,CBJ,34,14,14,28,11,8,8,6,0,1,7,7,0,84,16.7,456,13:26,7,4,54,63,46.2\
44,Kevin Hayes\\hayeske01,24,RW,NYR,39,11,17,28,13,10,9,1,1,3,12,3,2,66,16.7,661,16:56,21,28,240,281,46.1\
45,Mark Stone\\stonema01,24,RW,OTT,36,11,17,28,1,17,6,5,0,3,12,5,0,55,20,667,18:32,31,25,7,9,43.8\
46,Henrik Zetterberg\\zettehe01,36,LW,DET,37,7,21,28,11,8,6,1,0,0,18,3,0,79,8.9,715,19:19,14,25,312,276,53.1\
47,Jeff Skinner\\skinnje01,24,LW,CAR,35,13,14,27,-6,16,9,4,0,0,7,7,0,124,10.5,636,18:10,13,15,5,11,31.3\
48,John Tavares\\tavarjo01,26,C,NYI,36,11,16,27,-1,26,7,4,0,0,12,4,0,105,10.5,726,20:10,8,15,401,353,53.2\
49,Aleksander Barkov\\barkoal01,21,C,FLA,36,9,18,27,7,6,8,1,0,2,12,6,0,88,10.2,691,19:12,16,25,263,300,46.7\
50,Mitch Marner\\marnemi01,19,C,TOR,36,9,18,27,-2,18,8,1,0,3,13,5,0,100,9,614,17:03,20,17,9,14,39.1\
51,Ryan Johansen\\johanry01,24,C,NSH,36,7,20,27,1,22,3,3,1,3,10,10,0,83,8.4,674,18:43,12,45,303,282,51.8\
52,David Pastrnak\\pastrda01,20,RW,BOS,33,19,7,26,14,12,15,4,0,3,6,1,0,114,16.7,577,17:29,16,25,1,1,50.0\
53,James van Riemsdyk\\vanrija01,27,LW,TOR,36,13,13,26,-1,16,11,2,0,1,10,3,0,98,13.3,576,15:00,16,40,1,3,25.0\
