,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,,,,Per Game,Per Game,Per Game,Per Game,Point Shares,Point Shares,Point Shares\
Rk,Player,Tm,Lg,Pos,Season,Age,GP,G,A,PTS,#ERROR!,PIM,EV,PP,SH,GW,S,S%,TOI,G,A,PTS,S,OPS,DPS,PS\
1,Sidney Crosby\\crosbsi01,PIT,NHL,C,2016-17,29,32,26,16,42,9,12,17,9,0,3,112,23.2,615,0.81,0.5,1.31,3.5,6,0.8,6.7\
2,Jeff Carter\\carteje01,LAK,NHL,C,2016-17,32,37,20,11,31,6,14,13,6,1,7,118,16.9,670,0.54,0.3,0.84,3.19,4,1.2,5.2\
3,Wayne Simmonds\\simmowa01,PHI,NHL,RW,2016-17,28,39,17,15,32,-7,67,8,8,1,1,105,16.2,751,0.44,0.38,0.82,2.69,3.5,0.6,4.1\
4,Brent Burns\\burnsbr01,SJS,NHL,D,2016-17,31,37,15,20,35,12,14,11,4,0,3,151,9.9,911,0.41,0.54,0.95,4.08,4.5,3.7,8.1\
5,Mark Scheifele\\scheima01,WPG,NHL,C,2016-17,23,36,15,18,33,5,24,12,3,0,2,83,18.1,729,0.42,0.5,0.92,2.31,3.4,1,4.4\
6,Sam Gagner\\gagnesa01,CBJ,NHL,C,2016-17,27,34,14,14,28,11,8,8,6,0,1,84,16.7,456,0.41,0.41,0.82,2.47,3.6,0.8,4.4\
7,Connor McDavid\\mcdavco01,EDM,NHL,C,2016-17,20,38,14,29,43,9,16,12,2,0,3,111,12.6,804,0.37,0.76,1.13,2.92,4.3,1.3,5.6\
8,James Neal\\nealja01,NSH,NHL,RW,2016-17,29,32,14,6,20,-4,17,12,2,0,2,105,13.3,593,0.44,0.19,0.63,3.28,2.2,0.5,2.7\
9,Matt Duchene\\duchema01,COL,NHL,C,2016-17,26,33,13,11,24,-10,2,11,2,0,3,84,15.5,616,0.39,0.33,0.73,2.55,2.5,0.4,2.9\
10,Patrick Eaves\\eavespa01,DAL,NHL,RW,2016-17,32,37,13,9,22,-8,12,6,7,0,1,88,14.8,614,0.35,0.24,0.59,2.38,2.2,0.3,2.5\
11,Nazem Kadri\\kadrina01,TOR,NHL,C,2016-17,26,36,13,8,21,-1,59,8,5,0,3,116,11.2,591,0.36,0.22,0.58,3.22,2.2,0.5,2.7\
12,Rick Nash\\nashri01,NYR,NHL,RW,2016-17,32,30,13,7,20,-1,12,8,4,1,2,88,14.8,483,0.43,0.23,0.67,2.93,2.4,0.4,2.8\
13,Tyler Seguin\\seguity01,DAL,NHL,C,2016-17,25,38,13,25,38,-9,14,6,7,0,1,132,9.8,724,0.34,0.66,1,3.47,3.6,0.4,4.1\
14,Jeff Skinner\\skinnje01,CAR,NHL,LW,2016-17,24,35,13,14,27,-6,16,9,4,0,0,124,10.5,636,0.37,0.4,0.77,3.54,2.8,0.6,3.4\
15,Kyle Turris\\turriky01,OTT,NHL,C,2016-17,27,37,13,12,25,1,29,12,1,0,3,72,18.1,715,0.35,0.32,0.68,1.95,2.4,0.9,3.3\
16,Paul Byron\\byronpa01,MTL,NHL,LW,2016-17,27,37,12,11,23,8,14,11,0,1,2,50,24,557,0.32,0.3,0.62,1.35,2.4,0.8,3.2\
17,Alex Killorn\\killoal01,TBL,NHL,LW,2016-17,27,38,12,7,19,-5,34,9,2,1,3,90,13.3,679,0.32,0.18,0.5,2.37,1.6,0.5,2.1\
18,Jaden Schwartz\\schwaja01,STL,NHL,LW,2016-17,24,34,12,9,21,1,6,9,3,0,3,78,15.4,654,0.35,0.26,0.62,2.29,1.9,0.8,2.7\
19,Logan Couture\\coutulo01,SJS,NHL,C,2016-17,27,37,11,12,23,1,10,5,6,0,1,104,10.6,686,0.3,0.32,0.62,2.81,1.9,1.1,3.0\
20,Jonathan Drouin\\drouijo01,TBL,NHL,LW,2016-17,21,30,11,11,22,1,8,5,6,0,2,85,12.9,512,0.37,0.37,0.73,2.83,2.3,0.6,2.9\
21,Robby Fabbri\\fabbrro01,STL,NHL,C,2016-17,21,37,11,14,25,-5,25,7,4,0,0,65,16.9,588,0.3,0.38,0.68,1.76,2.4,0.5,2.9\
22,Bo Horvat\\horvabo01,VAN,NHL,C,2016-17,21,39,11,15,26,-1,16,8,1,2,1,68,16.2,681,0.28,0.38,0.67,1.74,2.3,0.8,3.2\
23,Jon Marchessault\\audymjo01,FLA,NHL,C,2016-17,26,31,11,13,24,1,12,8,3,0,2,83,13.3,566,0.35,0.42,0.77,2.68,2.4,0.8,3.2\
24,P.A. Parenteau\\parenpi01,NJD,NHL,RW,2016-17,33,36,11,6,17,-10,29,8,3,0,2,69,15.9,563,0.31,0.17,0.47,1.92,1.6,0.4,2.0\
25,Brayden Schenn\\schenbr01,PHI,NHL,C,2016-17,25,36,11,13,24,-6,24,3,8,0,4,84,13.1,642,0.31,0.36,0.67,2.33,2.2,0.5,2.7\
26,Eric Staal\\staaler01,MIN,NHL,C,2016-17,32,36,11,19,30,13,14,9,1,1,5,94,11.7,694,0.31,0.53,0.83,2.61,2.7,1.1,3.9\
27,Mark Stone\\stonema01,OTT,NHL,RW,2016-17,24,36,11,17,28,1,17,6,5,0,3,55,20,667,0.31,0.47,0.78,1.53,2.7,0.8,3.5\
28,John Tavares\\tavarjo01,NYI,NHL,C,2016-17,26,36,11,16,27,-1,26,7,4,0,0,105,10.5,726,0.31,0.44,0.75,2.92,2.3,0.5,2.8\
29,Jamie Benn\\bennja01,DAL,NHL,LW,2016-17,27,38,10,24,34,-6,35,4,6,0,2,87,11.5,768,0.26,0.63,0.89,2.29,2.7,0.6,3.3\
30,Mike Fisher\\fishemi01,NSH,NHL,C,2016-17,36,32,10,10,20,-4,35,5,5,0,2,60,16.7,528,0.31,0.31,0.63,1.88,2,0.4,2.4\
31,Claude Giroux\\giroucl01,PHI,NHL,C,2016-17,29,39,10,22,32,-5,24,6,4,0,1,104,9.6,766,0.26,0.56,0.82,2.67,2.7,0.7,3.3\
32,Mike Hoffman\\hoffmmi02,OTT,NHL,LW,2016-17,27,33,10,15,25,-2,27,4,6,0,3,102,9.8,571,0.3,0.45,0.76,3.09,2.5,0.6,3.1\
33,Milan Lucic\\lucicmi01,EDM,NHL,LW,2016-17,28,38,10,16,26,-3,18,6,4,0,1,92,10.9,688,0.26,0.42,0.68,2.42,2.2,0.6,2.9\
34,Brad Marchand\\marchbr03,BOS,NHL,LW,2016-17,28,40,10,21,31,4,42,8,2,0,3,112,8.9,758,0.25,0.53,0.78,2.8,2.7,1.3,4.0\
35,Patrick Marleau\\marlepa01,SJS,NHL,LW,2016-17,37,37,10,6,16,0,10,7,3,0,3,91,11,647,0.27,0.16,0.43,2.46,1.1,1,2.1\
36,Sean Monahan\\monahse01,CGY,NHL,C,2016-17,22,39,10,10,20,-14,12,6,4,0,2,80,12.5,699,0.26,0.26,0.51,2.05,1.3,0.2,1.6\
37,David Perron\\perroda01,STL,NHL,LW,2016-17,28,38,10,10,20,-6,30,8,2,0,3,76,13.2,689,0.26,0.26,0.53,2,1.5,0.6,2.0\
38,Sam Bennett\\bennesa01,CGY,NHL,C,2016-17,20,39,9,9,18,-6,39,7,2,0,0,64,14.1,610,0.23,0.23,0.46,1.64,1.3,0.5,1.7\
39,Rene Bourque\\bourqre01,COL,NHL,RW,2016-17,35,35,9,4,13,-13,25,7,2,0,2,62,14.5,525,0.26,0.11,0.37,1.77,1,0.2,1.2\
40,Mike Cammalleri\\cammami01,NJD,NHL,LW,2016-17,34,32,9,10,19,-5,17,8,1,0,2,78,11.5,582,0.28,0.31,0.59,2.44,1.6,0.6,2.2\
