Player,Pos.x,Pos.y,GP,G,A,PIM,PP,HIT,BLK,FOW,Cap,G.1,A.1
Dion Phaneuf,D,D,37,5,10,51,3,72,84,0,7000000,0.14,0.27
Tanner Pearson,LW,LW,35,9,9,7,1,68,15,1,1400000,0.26,0.26
David Savard,D,D,35,1,9,22,0,66,69,0,4250000,0.03,0.26
Jordie Benn,D,D,35,2,8,20,0,32,76,0,1100000,0.06,0.23
Claude Giroux,C,C,39,10,22,24,4,36,13,417,8275000,0.26,0.56
Patrice Bergeron,C,C,37,7,5,8,3,33,28,405,6875000,0.19,0.14
Antoine Vermette,C,RW,39,7,9,22,3,34,34,368,1750000,0.18,0.23
Paul Stastny,C,C,37,7,11,24,2,31,20,351,7000000,0.19,0.3
Jonathan Toews,C,C,31,6,12,19,3,25,15,344,10500000,0.19,0.39
Travis Zajac,C,C,37,8,16,16,3,52,15,341,5750000,0.22,0.43
Ryan Johansen,C,C,36,7,20,22,3,46,15,335,4000000,0.19,0.56
Sean Monahan,C,C,39,10,10,12,4,21,12,323,6375000,0.26,0.26
John Tavares,C,C,36,11,16,26,4,18,9,323,5500000,0.31,0.44
Jeff Carter,C,C,37,20,11,14,6,48,18,320,5272727,0.54,0.3
Bo Horvat,C,C,39,11,15,16,1,45,15,310,894167,0.28,0.38
Nathan MacKinnon,C,RW,37,9,16,4,1,24,14,295,6300000,0.24,0.43
Sidney Crosby,C,C,32,26,16,12,9,40,10,285,8700000,0.81,0.5
Ryan O'Reilly,C,C,27,7,11,6,3,4,18,280,7500000,0.26,0.41
Derick Brassard,C,C,37,8,9,10,1,43,9,277,5000000,0.22,0.24
Tyler Bozak,C,C,33,7,13,8,1,26,9,269,4200000,0.21,0.39
Adam Henrique,C,LW,38,9,11,24,2,51,39,266,4000000,0.24,0.29
Eric Staal,C,LW,36,11,19,14,1,24,19,259,3500000,0.31,0.53
Eric Staal,C,LW,36,11,19,14,1,24,19,259,3500000,0.31,0.53
Eric Staal,C,LW,36,11,19,14,1,24,19,259,3500000,0.31,0.53
Eric Staal,C,LW,36,11,19,14,1,24,19,259,3500000,0.31,0.53
Mark Scheifele,C,C,36,15,18,24,3,32,18,257,6125000,0.42,0.5
Jordan Staal,C,C,29,7,7,11,2,67,13,256,6000000,0.24,0.24
Kyle Turris,C,C,37,13,12,29,1,11,35,255,3500000,0.35,0.32
Ryan Nugent-Hopkins,C,C,38,7,11,16,3,30,16,249,6000000,0.18,0.29
Nazem Kadri,C,C,36,13,8,59,5,52,15,244,4500000,0.36,0.22
Jay Beagle,RW,C,36,6,8,8,0,28,24,242,1750000,0.17,0.22
Mike Fisher,C,C,32,10,10,35,5,77,31,239,4400000,0.31,0.31
Ryan Getzlaf,C,C,36,5,25,20,2,45,44,229,8250000,0.14,0.69
Torrey Mitchell,C,C,37,7,5,22,0,24,35,217,1200000,0.19,0.14
Phillip Danault,LW,LW,37,7,9,10,0,41,32,207,912500,0.19,0.24
