Player,Pos.x,Rk,Tm,Age,GP,G,A,PTS,X...,PIM,EV,PP,SH,GW,S,S.,TOI,G.1,A.1,PTS.1,S.1,OPS,DPS,PS.,Pos.y,Cap
Cory Conacher,LW,234,TBL,27,7,1,1,2,-2,4,0,1,0,0,10,10,86,0.14,0.14,0.29,1.43,0.1,0,0.1\,C,575000
Matt Irwin,D,166,NSH,29,30,3,5,8,12,8,3,0,0,1,48,6.3,489,0.1,0.17,0.27,1.6,0.6,2,2.7\,D,575000
Adam Pardy,D,345,NSH,32,4,0,0,0,-1,6,0,0,0,0,4,0,44,0,0,0,1,-0.1,0,-0.1\,D,575000
Michael Bournival,LW,227,TBL,24,8,1,0,1,-1,0,1,0,0,0,11,9.1,79,0.13,0,0.13,1.38,0,0,0.1\,LW,575000
Andy Andreoff,LW,276,LAK,25,15,0,0,0,-2,22,0,0,0,0,9,0,155,0,0,0,0.6,-0.4,0.1,-0.3\,LW,587500
Frederick Gaudreau,C,306,NSH,23,8,0,1,1,0,0,0,0,0,0,8,0,70,0,0.13,0.13,1,-0.1,0.1,0.0\,C,595000
Michael Chaput,C,288,VAN,24,27,0,3,3,-4,13,0,0,0,0,15,0,275,0,0.11,0.11,0.56,-0.4,0.2,-0.3\,C,600000
Michael Sgarbossa,C,360,TOT,24,11,0,2,2,-2,0,0,0,0,0,9,0,108,0,0.18,0.18,0.82,-0.1,0,0.0\,C,600000
Josh Jooris,RW,252,TOT,26,18,1,2,3,3,6,1,0,0,0,14,7.1,175,0.06,0.11,0.17,0.78,0,0.3,0.3\,C,600000
Frank Corrado,D,291,TOR,23,1,0,0,0,0,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0.0\,D,600000
Taylor Fedun,D,302,BUF,28,8,0,4,4,1,2,0,0,0,0,9,0,121,0,0.5,0.5,1.13,0.3,0.4,0.7\,D,600000
Adam Cracknell,RW,136,DAL,31,35,4,2,6,6,2,4,0,0,2,48,8.3,361,0.11,0.06,0.17,1.37,0.1,0.7,0.7\,LW,600000
Chris Terry,LW,216,MTL,27,12,2,2,4,2,4,2,0,0,0,14,14.3,119,0.17,0.17,0.33,1.17,0.3,0.2,0.5\,RW,600000
Shawn Thornton,LW,369,FLA,39,14,0,1,1,-3,7,0,0,0,0,6,0,86,0,0.07,0.07,0.43,-0.1,0,-0.1\,RW,600000
Damon Severson,D,176,NJD,22,38,3,15,18,-21,35,3,0,0,1,52,5.8,803,0.08,0.39,0.47,1.37,1.4,0.3,1.7\,D,605833
Trevor Smith,C,364,NSH,31,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0\,C,612500
Jordan Martinook,LW,100,ARI,24,37,6,8,14,-2,16,5,1,0,0,60,10,609,0.16,0.22,0.38,1.62,0.5,0.6,1.1\,LW,612500
Josh Leivo,LW,332,TOR,23,1,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0.1,0.0\,LW,612500
Zack Mitchell,RW,338,MIN,24,10,0,0,0,-1,0,0,0,0,0,9,0,86,0,0,0,0.9,-0.2,0,-0.2\,RW,615000
Justin Dowling,C,298,DAL,26,5,0,2,2,0,2,0,0,0,0,9,0,56,0,0.4,0.4,1.8,0.1,0.1,0.1\,C,625000
Ryan Sproul,D,272,DET,24,18,1,5,6,-5,4,0,1,0,0,35,2.9,287,0.06,0.28,0.33,1.94,0.4,0.2,0.7\,D,625000
Julian Melchiori,D,336,WPG,25,4,0,0,0,-3,0,0,0,0,0,1,0,55,0,0,0,0.25,-0.1,-0.2,-0.2\,D,625000
Tyler Wotherspoon,D,374,CGY,23,2,0,0,0,-1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,-0.1\,D,625000
Micheal Haley,C,317,SJS,30,24,0,3,3,0,47,0,0,0,0,14,0,193,0,0.13,0.13,0.58,-0.2,0.3,0.1\,LW,625000
Seth Griffith,C,315,TOT,24,22,0,5,5,6,6,0,0,0,0,21,0,288,0,0.23,0.23,0.95,-0.2,0.6,0.4\,RW,625000
Scott Harrington,D,320,CBJ,23,3,0,0,0,0,0,0,0,0,0,1,0,40,0,0,0,0.33,-0.1,0.1,0.0\,D,632500
Sam Gagner,C,6,CBJ,27,34,14,14,28,11,8,8,6,0,1,84,16.7,456,0.41,0.41,0.82,2.47,3.6,0.8,4.4\,C,650000
Justin Falk,D,301,BUF,28,21,0,1,1,-1,7,0,0,0,0,15,0,271,0,0.05,0.05,0.71,-0.2,0.6,0.4\,D,650000
Derek Grant,C,313,BUF,26,32,0,3,3,-3,19,0,0,0,0,30,0,333,0,0.09,0.09,0.94,-0.6,0.3,-0.3\,LW,650000
Quinton Howden,C,323,WPG,25,5,0,0,0,1,0,0,0,0,0,5,0,43,0,0,0,1,-0.1,0.1,0.0\,LW,650000
Rene Bourque,RW,39,COL,35,35,9,4,13,-13,25,7,2,0,2,62,14.5,525,0.26,0.11,0.37,1.77,1,0.2,1.2\,LW,650000
Taylor Beck,LW,281,EDM,25,3,0,0,0,-1,4,0,0,0,0,0,0,18,0,0,0,0,-0.1,0,-0.1\,RW,650000
Ty Rattie,RW,353,STL,23,4,0,0,0,0,0,0,0,0,0,1,0,29,0,0,0,0.25,-0.1,0,0.0\,RW,650000
Ben Harpur,D,319,OTT,22,1,0,0,0,-1,0,0,0,0,0,0,0,11,0,0,0,0,0,-0.1,-0.1\,D,653333
Brayden Point,C,175,TBL,20,36,3,12,15,-5,10,0,3,0,0,65,4.6,567,0.08,0.33,0.42,1.81,0.4,0.4,0.9\,C,661666
Tyler Bertuzzi,LW,283,DET,21,7,0,0,0,-1,0,0,0,0,0,3,0,64,0,0,0,0.43,-0.2,0,-0.1\,LW,661667
Curtis McKenzie,LW,170,DAL,25,27,3,5,8,4,40,3,0,0,1,41,7.3,293,0.11,0.19,0.3,1.52,0.4,0.5,0.9\,LW,675000
Mason Raymond,LW,354,ANA,31,4,0,0,0,-2,0,0,0,0,0,3,0,36,0,0,0,0.75,-0.1,0,-0.1\,LW,675000
Ryan Johnston,D,326,MTL,24,2,0,0,0,-1,2,0,0,0,0,1,0,17,0,0,0,0.5,0,-0.1,-0.1\,D,680000
Freddie Hamilton,C,249,CGY,25,16,1,0,1,-1,6,1,0,0,1,16,6.3,155,0.06,0,0.06,1,-0.2,0.1,-0.1\,C,688000
Greg McKegg,C,334,FLA,24,20,0,2,2,-2,6,0,0,0,0,15,0,211,0,0.1,0.1,0.75,-0.4,0.2,-0.2\,C,700000
Cal O'Reilly,C,343,BUF,30,4,0,0,0,-1,0,0,0,0,0,1,0,44,0,0,0,0.25,-0.1,0,-0.1\,C,700000
Phil Varone,C,371,OTT,26,4,0,0,0,-2,2,0,0,0,0,0,0,33,0,0,0,0,-0.1,0,-0.1\,C,700000
Linden Vey,RW,372,CGY,25,4,0,0,0,-2,0,0,0,0,0,1,0,44,0,0,0,0.25,-0.1,0,-0.2\,C,700000
Luke Gazdic,LW,308,NJD,27,7,0,0,0,-1,12,0,0,0,0,3,0,51,0,0,0,0.43,-0.1,0,-0.1\,LW,700000
Brendan Guhle,D,316,BUF,19,3,0,0,0,1,0,0,0,0,0,4,0,49,0,0,0,1.33,-0.1,0.2,0.1\,D,703333
Blake Speers,C,365,NJD,20,3,0,0,0,0,0,0,0,0,0,3,0,28,0,0,0,1,-0.1,0,0.0\,RW,717500
Mike Blunden,RW,285,OTT,30,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0\,RW,737500
A.J. Greer,LW,314,COL,20,5,0,1,1,-2,4,0,0,0,0,8,0,68,0,0.2,0.2,1.6,-0.1,0,-0.1\,LW,741666
Laurent Dauphin,C,192,ARI,21,20,2,1,3,-1,8,1,0,1,1,25,8,220,0.1,0.05,0.15,1.25,-0.1,0.2,0.1\,C,745000
Mark Barberio,D,277,MTL,26,13,0,2,2,2,6,0,0,0,0,19,0,190,0,0.15,0.15,1.46,0,0.5,0.5\,D,750000
Cody Goloubef,D,310,COL,27,8,0,2,2,-7,13,0,0,0,0,3,0,129,0,0.25,0.25,0.38,0.1,-0.3,-0.2\,D,750000
Jordin Tootoo,RW,370,CHI,33,30,0,0,0,-2,16,0,0,0,0,28,0,196,0,0,0,0.93,-0.6,0.1,-0.4\,RW,750000
Anthony Duclair,LW,162,ARI,21,34,3,4,7,-4,14,3,0,0,0,45,6.7,465,0.09,0.12,0.21,1.32,-0.2,0.4,0.2\,LW,772500
Nicolas Deslauriers,LW,294,BUF,25,15,0,0,0,-4,4,0,0,0,0,9,0,125,0,0,0,0.6,-0.4,0,-0.4\,LW,775000
Ryan Murphy,D,341,CAR,23,7,0,2,2,-5,0,0,0,0,0,1,0,108,0,0.29,0.29,0.14,0.1,-0.1,-0.1\,D,787500
Matthew Peca,C,346,TBL,23,3,0,1,1,1,0,0,0,0,0,3,0,39,0,0.33,0.33,1,0,0.1,0.1\,C,796250
Tom Pyatt,LW,147,OTT,29,37,4,5,9,0,10,4,0,0,0,47,8.5,579,0.11,0.14,0.24,1.27,-0.1,0.7,0.6\,C,800000
Patrick Wiercioch,D,221,COL,26,33,2,6,8,-12,17,2,0,0,0,40,5,581,0.06,0.18,0.24,1.21,0.4,0.5,0.9\,D,800000
Taylor Chorney,D,232,WSH,29,7,1,1,2,3,4,1,0,0,1,9,11.1,94,0.14,0.14,0.29,1.29,0.2,0.5,0.7\,D,800000
Dylan McIlrath,D,257,TOT,24,5,1,0,1,-2,14,1,0,0,0,2,50,48,0.2,0,0.2,0.4,0.2,-0.1,0.1\,D,800000
Steve Ott,C,205,DET,34,33,2,2,4,-4,54,2,0,0,0,27,7.4,340,0.06,0.06,0.12,0.82,-0.3,0.3,0.0\,LW,800000
Gabriel Bourque,LW,286,COL,26,6,0,0,0,0,0,0,0,0,0,4,0,67,0,0,0,0.67,-0.2,0.1,-0.1\,LW,800000
Andrew Desjardins,LW,293,CHI,30,22,0,0,0,-5,6,0,0,0,0,27,0,218,0,0,0,1.23,-0.6,0,-0.6\,LW,800000
Alex Chiasson,RW,113,CGY,26,39,5,6,11,3,23,4,0,1,1,49,10.2,540,0.13,0.15,0.28,1.26,0.2,0.8,1.0\,RW,800000
John Quenneville,C,352,NJD,20,2,0,0,0,-1,2,0,0,0,0,0,0,17,0,0,0,0,0,0,-0.1\,F,811666
Cedric Paquette,C,173,TBL,23,31,3,4,7,-2,37,3,0,0,0,33,9.1,339,0.1,0.13,0.23,1.06,0.2,0.3,0.5\,RW,812500
Nick Cousins,C,135,PHI,23,34,4,6,10,-5,21,3,1,0,0,44,9.1,377,0.12,0.18,0.29,1.29,0.5,0.2,0.8\,C,840000
Ben Chiarot,D,289,WPG,25,38,0,6,6,-4,12,0,0,0,0,26,0,551,0,0.16,0.16,0.68,0,0.7,0.6\,D,850000
Brett Connolly,RW,134,WSH,24,22,4,1,5,1,16,3,1,0,0,32,12.5,236,0.18,0.05,0.23,1.45,0.4,0.3,0.7\,RW,850000
Adam Pelech,D,263,NYI,22,9,1,2,3,-4,0,1,0,0,0,10,10,139,0.11,0.22,0.33,1.11,0.3,-0.1,0.1\,D,854333
Colton Parayko,D,344,STL,23,38,0,17,17,0,10,0,0,0,0,96,0,812,0,0.45,0.45,2.53,0.9,1.9,2.8\,D,858750
Darnell Nurse,D,172,EDM,21,25,3,2,5,-3,17,3,0,0,0,43,7,442,0.12,0.08,0.2,1.72,0.4,0.7,1.0\,D,863333
Derrick Pouliot,D,348,PIT,23,7,0,0,0,-3,4,0,0,0,0,10,0,101,0,0,0,1.43,-0.1,-0.1,-0.3\,D,863333
Danton Heinen,C,321,BOS,21,8,0,0,0,-3,2,0,0,0,0,7,0,106,0,0,0,0.88,-0.3,0,-0.3\,C,872500
Brandon Tanev,LW,215,WPG,25,35,2,2,4,-5,24,2,0,0,1,43,4.7,420,0.06,0.06,0.11,1.23,-0.5,0.2,-0.3\,LW,874125
Brett Ritchie,RW,83,DAL,23,38,7,4,11,3,19,6,1,0,0,85,8.2,493,0.18,0.11,0.29,2.24,0.6,0.7,1.3\,RW,875000
Bo Horvat,C,22,VAN,21,39,11,15,26,-1,16,8,1,2,1,68,16.2,681,0.28,0.38,0.67,1.74,2.3,0.8,3.2\,C,894167
Mathew Barzal,C,278,NYI,19,2,0,0,0,-2,6,0,0,0,0,0,0,20,0,0,0,0,-0.1,-0.1,-0.1\,C,894167
Jason Dickinson,C,296,DAL,21,2,0,0,0,-1,0,0,0,0,0,0,0,18,0,0,0,0,-0.1,0,-0.1\,C,894167
Dylan Strome,C,367,ARI,19,7,0,1,1,-5,0,0,0,0,0,6,0,96,0,0.14,0.14,0.86,-0.2,-0.1,-0.3\,C,894167
Thomas Chabot,D,287,OTT,20,1,0,0,0,-2,0,0,0,0,0,1,0,7,0,0,0,1,0,-0.2,-0.2\,D,894167
Travis Konecny,C,123,PHI,19,38,5,14,19,-1,35,3,2,0,0,83,6,564,0.13,0.37,0.5,2.18,1.2,0.6,1.8\,F,894167
Jonathan Drouin,LW,20,TBL,21,30,11,11,22,1,8,5,6,0,2,85,12.9,512,0.37,0.37,0.73,2.83,2.3,0.6,2.9\,LW,894167
Anthony Beauvillier,LW,131,NYI,19,26,4,5,9,2,6,4,0,0,0,28,14.3,309,0.15,0.19,0.35,1.08,0.6,0.3,1.0\,LW,894167
Curtis Lazar,RW,331,OTT,21,17,0,0,0,-4,4,0,0,0,0,19,0,157,0,0,0,1.12,-0.4,0,-0.4\,RW,894167
Ben Hutton,D,142,VAN,23,39,4,7,11,-13,18,3,1,0,1,70,5.7,821,0.1,0.18,0.28,1.79,0.7,0.9,1.6\,D,896250
Dominic Moore,C,59,BOS,36,40,8,4,12,4,18,6,0,2,1,46,17.4,512,0.2,0.1,0.3,1.15,0.9,0.9,1.8\,C,900000
Jean-Gabriel Pageau,C,146,OTT,24,37,4,9,13,5,6,4,0,0,1,67,6,593,0.11,0.24,0.35,1.81,0.3,0.9,1.2\,C,900000
Chris Kelly,C,197,OTT,36,37,2,5,7,-4,10,2,0,0,1,38,5.3,483,0.05,0.14,0.19,1.03,-0.3,0.4,0.1\,C,900000
Riley Nash,C,261,BOS,27,40,1,5,6,-4,6,1,0,0,0,56,1.8,558,0.03,0.13,0.15,1.4,-0.8,0.6,-0.1\,C,900000
Matt Puempel,LW,127,TOT,24,26,5,1,6,-8,9,2,3,0,1,29,17.2,241,0.19,0.04,0.23,1.12,0.6,-0.1,0.5\,LW,900000
Scottie Upshall,RW,152,STL,33,35,4,3,7,-7,19,4,0,0,1,35,11.4,360,0.11,0.09,0.2,1,0.2,0.1,0.4\,LW,900000
Ryan Garbutt,LW,194,ANA,31,27,2,1,3,-3,20,2,0,0,1,26,7.7,247,0.07,0.04,0.11,0.96,-0.1,0.2,0.0\,RW,900000
Jamie Oleksiak,D,145,DAL,24,17,4,1,5,2,18,4,0,0,1,17,23.5,269,0.24,0.06,0.29,1,0.7,0.7,1.4\,D,918750
Connor McDavid,C,7,EDM,20,38,14,29,43,9,16,12,2,0,3,111,12.6,804,0.37,0.76,1.13,2.92,4.3,1.3,5.6\,C,925000
Sam Bennett,C,38,CGY,20,39,9,9,18,-6,39,7,2,0,0,64,14.1,610,0.23,0.23,0.46,1.64,1.3,0.5,1.7\,C,925000
Zach Hyman,C,120,TOR,24,36,5,11,16,2,18,5,0,0,2,84,6,605,0.14,0.31,0.44,2.33,0.7,0.6,1.3\,C,925000
Mark Jankowski,C,325,CGY,22,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0\,C,925000
